"table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts)","...2","...3","...4","...5","...6","...7","...8","...9","...10"
".Maine","1,328,361","1,328,361","1,327,379",1328188,NA,NA,NA,NA,NA
".Maryland","5,773,552","5,773,552","5,785,681",5828289,NA,NA,NA,NA,NA
".Massachusetts","6,547,629","6,547,629","6,555,466",6587536,NA,NA,NA,NA,NA
".Michigan","9,883,640","9,883,635","9,877,143",9876187,NA,NA,NA,NA,NA
".Minnesota","5,303,925","5,303,925","5,310,658",5344861,NA,NA,NA,NA,NA
".Mississippi","2,967,297","2,967,297","2,970,072",2978512,NA,NA,NA,NA,NA
".Missouri","5,988,927","5,988,927","5,995,715",6010688,NA,NA,NA,NA,NA
".Montana","989,415","989,415","990,958",998199,NA,NA,NA,NA,NA
".Nebraska","1,826,341","1,826,341","1,830,141",1842641,NA,NA,NA,NA,NA
".Nevada","2,700,551","2,700,551","2,704,283",2723322,NA,NA,NA,NA,NA
".New Hampshire","1,316,470","1,316,472","1,316,807",1318194,NA,NA,NA,NA,NA
".New Jersey","8,791,894","8,791,894","8,799,593",8821155,NA,NA,NA,NA,NA
".New Mexico","2,059,179","2,059,180","2,065,913",2082224,NA,NA,NA,NA,NA
".New York","19,378,102","19,378,104","19,395,206",19465197,NA,NA,NA,NA,NA
".North Carolina","9,535,483","9,535,475","9,560,234",9656401,NA,NA,NA,NA,NA
".North Dakota","672,591","672,591","674,629",683932,NA,NA,NA,NA,NA
".Ohio","11,536,504","11,536,502","11,537,968",11544951,NA,NA,NA,NA,NA
".Oklahoma","3,751,351","3,751,354","3,760,184",3791508,NA,NA,NA,NA,NA
".Oregon","3,831,074","3,831,074","3,838,332",3871859,NA,NA,NA,NA,NA
".Pennsylvania","12,702,379","12,702,379","12,717,722",12742886,NA,NA,NA,NA,NA
".Rhode Island","1,052,567","1,052,567","1,052,528",1051302,NA,NA,NA,NA,NA
".South Carolina","4,625,364","4,625,364","4,637,106",4679230,NA,NA,NA,NA,NA
".South Dakota","814,180","814,180","816,598",824082,NA,NA,NA,NA,NA
".Tennessee","6,346,105","6,346,110","6,357,436",6403353,NA,NA,NA,NA,NA
".Texas","25,145,561","25,145,561","25,253,466",25674681,NA,NA,NA,NA,NA
".Utah","2,763,885","2,763,885","2,775,479",2817222,NA,NA,NA,NA,NA
".Vermont","625,741","625,741","625,909",626431,NA,NA,NA,NA,NA
".Virginia","8,001,024","8,001,030","8,023,953",8096604,NA,NA,NA,NA,NA
".Washington","6,724,540","6,724,540","6,742,950",6830038,NA,NA,NA,NA,NA
".West Virginia","1,852,994","1,852,996","1,854,368",1855364,NA,NA,NA,NA,NA
".Wisconsin","5,686,986","5,686,986","5,691,659",5711767,NA,NA,NA,NA,NA
".Wyoming","563,626","563,626","564,554",568158,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puerto Rico","3,725,789","3,725,789","3,721,978",3706690,NA,NA,NA,NA,NA
"Note: The April 1, 2010 Population Estimates base reflects changes to the Census 2010 population from geographic program revisions.  It does not reflect changes from the Count Question Resolution program.  See Geographic Terms and Definitions at http://www.census.gov/popest/about/geo/terms.html for a list of the states that are included in each region.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suggested Citation:",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Table 1. Annual Estimates of the Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2011 (NST-EST2011-01)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Source: U.S. Census Bureau, Population Division",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Release Date: December 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA
